cityName,country,lat,lng,temp,humidity,cloudiness,winds
tarko-sale,ru,64.92,77.78,65.67,71,36,10.09
las cruces,us,-33.5,-71.62,49.41,87,75,3.36
lagoa,pt,37.14,-8.45,71.6,56,0,14.99
de-kastri,ru,51.48,140.77,60.95,86,44,3.38
tuktoyaktuk,ca,69.44,-133.03,42.8,70,90,11.41
cherskiy,ru,68.75,161.3,42.36,93,92,4.83
estevan,ca,49.14,-102.99,72.5,37,75,2.15
urucara,br,-2.54,-57.76,80.43,74,24,4.72
sanmenxia,cn,34.77,111.19,77.87,83,68,3.6
kaputa,zm,-8.47,29.66,62.25,70,68,3.49
lahat,id,-3.78,103.55,71.12,75,8,5.39
bredasdorp,za,-34.53,20.04,50.0,81,12,4.7
chik,ru,54.99,82.44,46.4,93,0,4.47
cap malheureux,mu,-19.98,57.61,71.6,53,90,8.05
mackay,au,53.65,-115.58,76.1,36,75,5.82
ketchikan,us,55.34,-131.65,78.8,50,1,17.22
yarkovo,ru,54.81,82.6,46.4,93,0,4.47
kodiak,us,39.95,-94.76,84.2,37,1,5.84
arraial do cabo,br,-22.97,-42.02,68.0,88,0,10.29
kapaa,us,22.08,-159.32,86.0,70,40,12.75
provideniya,ru,64.42,-173.23,45.78,99,92,9.98
semnan,ir,35.58,53.39,68.28,50,0,1.14
mataura,pf,-46.19,168.86,48.53,87,36,17.25
constitucion,mx,23.99,-104.67,78.8,29,90,9.17
anloga,gh,5.79,0.9,77.0,88,20,10.29
gokak,in,16.17,74.82,71.93,95,68,12.44
birao,cf,10.3,22.78,70.71,90,76,8.41
chokurdakh,ru,70.62,147.9,36.87,86,80,9.42
ruiz,mx,21.95,-105.15,66.2,100,90,4.7
darnah,ly,32.77,22.64,79.53,95,0,11.77
kavaratti,in,10.57,72.64,82.5,96,64,21.94
ponta do sol,cv,-20.63,-46.0,56.13,70,0,4.38
alihe,cn,50.57,123.73,78.05,78,0,3.49
kigoma,tz,-4.88,29.64,74.85,100,88,4.61
sistranda,no,63.73,8.83,71.6,56,0,4.7
oster,ua,50.95,30.88,68.59,94,40,8.95
muli,mv,22.62,71.45,80.25,78,92,14.0
norman wells,ca,65.28,-126.83,71.6,68,90,8.05
ahipara,nz,-35.17,173.16,53.52,100,92,12.66
tatsuno,jp,34.87,134.51,77.0,78,75,3.36
iqaluit,ca,63.75,-68.52,42.8,75,75,6.93
baoro,cf,5.69,15.95,66.03,94,88,9.19
port alfred,za,-33.59,26.89,60.5,91,36,14.79
buseresere,tz,-3.01,31.92,64.55,67,36,5.95
dikson,ru,73.51,80.55,39.39,100,88,20.38
havoysund,no,71.0,24.66,57.2,67,0,4.7
zhigalovo,ru,54.81,105.15,57.21,73,0,2.93
kruisfontein,za,-34.0,24.73,56.22,89,0,10.65
luderitz,na,-26.65,15.16,52.13,90,0,9.31
gazli,uz,40.13,63.45,74.58,29,0,12.21
margherita,in,27.29,95.67,71.75,100,92,1.92
calafat,ro,43.99,22.93,67.29,94,36,2.26
esperance,au,10.24,-61.45,82.4,78,20,6.93
qaanaaq,gl,77.48,-69.36,36.69,96,92,5.5
rio grande,br,-32.03,-52.1,55.4,87,75,4.27
husavik,is,50.56,-96.99,75.57,64,0,4.05
barrow,us,-38.31,-60.23,49.02,92,20,9.31
garowe,so,8.41,48.48,80.79,37,0,17.02
okha,ru,53.59,142.95,66.35,69,88,7.63
yellowknife,ca,62.45,-114.38,78.8,47,40,11.41
hithadhoo,mv,-0.6,73.08,84.08,99,12,18.81
nanortalik,gl,60.14,-45.24,38.22,100,88,10.76
megion,ru,61.04,76.11,53.6,87,0,2.24
guerrero negro,mx,27.97,-114.04,82.1,55,8,10.42
sao filipe,cv,14.9,-24.5,74.67,100,76,6.73
puerto ayora,ec,-0.74,-90.35,78.8,57,40,18.34
moroni,km,39.52,-111.59,84.17,16,76,4.38
jalu,ly,29.03,21.55,75.98,36,0,8.75
deputatskiy,ru,69.3,139.9,46.32,70,0,8.3
kalianget,id,-7.74,113.68,71.43,100,0,7.18
hashtrud,ir,37.48,47.05,66.17,53,32,5.39
amuntai,id,-2.42,115.25,76.25,97,48,2.82
verkhnevilyuysk,ru,63.45,120.31,57.53,96,88,4.16
airai,pw,-8.93,125.41,69.77,82,0,2.37
arman,ru,59.7,150.17,66.2,59,0,8.95
chuy,uy,-33.69,-53.46,57.93,95,92,7.07
komsomolskiy,ru,67.55,63.78,44.43,75,0,18.48
grindavik,is,63.84,-22.43,53.71,93,0,11.41
sur,om,22.57,59.53,88.89,77,8,10.76
hamilton,bm,43.26,-79.87,73.42,64,75,14.99
carnarvon,au,-30.97,22.13,31.29,76,0,3.27
clyde river,ca,70.47,-68.59,41.0,80,75,11.41
rincon,an,32.3,-81.24,78.55,78,1,4.61
kralendijk,an,12.15,-68.27,84.2,74,40,19.46
hilo,us,19.71,-155.08,84.2,66,75,10.29
arona,es,45.76,8.56,66.47,78,0,4.7
hokitika,nz,-42.72,170.96,49.47,100,92,14.45
meulaboh,id,4.14,96.13,75.12,100,92,4.38
uhlove,ua,44.82,33.6,70.4,97,76,3.15
sergeyevka,kz,53.88,67.42,62.12,83,32,2.82
lhokseumawe,id,5.18,97.15,80.25,100,92,6.29
mahebourg,mu,-20.41,57.7,71.6,53,90,8.05
padang,id,-0.92,100.36,76.83,100,100,2.37
khatanga,ru,71.98,102.47,53.3,76,68,16.46
buin,pg,-33.73,-70.74,46.4,75,90,2.04
igarka,ru,67.47,86.57,57.35,57,24,12.21
aklavik,ca,68.22,-135.01,48.2,93,90,12.75
yamada,jp,36.58,137.08,78.04,78,75,4.7
asyut,eg,27.18,31.19,74.45,48,0,3.15
laguna,br,27.52,-110.01,87.8,58,75,9.17
changji,cn,32.07,116.17,87.5,76,76,4.38
mersing,my,2.43,103.84,78.32,98,12,7.63
businga,cd,3.34,20.89,69.99,95,88,2.48
zhigansk,ru,66.77,123.37,60.77,57,92,5.84
fortuna,us,38.18,-1.13,75.2,83,0,3.36
saint-philippe,re,45.36,-73.48,81.99,57,40,13.87
kuytun,cn,54.34,101.51,57.08,80,20,3.6
kaitangata,nz,-46.28,169.85,47.18,87,64,22.06
zhangye,cn,38.94,100.46,67.65,75,88,5.5
derzhavinsk,kz,51.1,66.31,68.28,60,32,4.94
novosheshminsk,ru,55.06,51.22,66.35,77,8,2.71
bahia blanca,ar,-38.72,-62.27,52.8,80,0,10.42
burnie,au,-41.05,145.91,51.5,100,0,5.95
hammerfest,no,70.66,23.68,57.2,67,0,4.7
sola,vu,58.89,5.65,77.56,36,0,9.17
sari,ir,36.57,53.06,82.4,88,0,4.7
ajdabiya,ly,30.75,20.22,72.38,69,0,7.96
gilgit,pk,35.92,74.31,41.91,97,92,0.13
kutum,sd,14.2,24.66,67.29,88,48,3.38
mananjary,mg,-19.16,46.8,46.55,91,8,3.27
torbay,ca,47.66,-52.73,68.0,88,75,21.92
bacolod,ph,10.68,122.95,79.58,89,44,8.75
ginda,er,30.69,78.49,57.66,100,92,1.7
tezu,in,27.93,96.16,67.74,100,92,1.59
itoman,jp,26.12,127.67,81.77,83,75,5.82
ishigaki,jp,24.34,124.16,80.6,94,20,2.24
dunedin,nz,-45.87,170.5,50.46,62,36,13.44
aswan,eg,24.09,32.9,91.41,28,0,9.86
nyrob,ru,60.74,56.73,68.28,75,68,7.85
bouna,ci,9.27,-3.0,73.1,90,88,2.93
pathein,mm,16.78,94.73,78.45,97,92,6.4
mehamn,no,71.03,27.85,51.8,87,20,4.7
boralday,kz,43.36,76.86,59.0,58,20,4.47
at-bashi,kg,41.17,75.81,42.54,100,64,1.59
vostok,ru,46.45,135.83,71.48,91,36,2.59
barhi,in,24.31,85.42,74.13,98,92,3.6
nome,us,30.04,-94.42,96.33,34,40,3.71
labuhan,id,-2.54,115.51,74.85,98,68,2.71
port elizabeth,za,39.31,-74.98,76.01,94,75,9.17
kieta,pg,-6.22,155.63,80.43,100,48,4.38
yeppoon,au,-23.13,150.74,59.0,100,0,5.82
karasjok,no,69.47,25.52,54.02,70,0,4.72
puri,in,-7.54,112.45,71.6,88,20,3.36
bandarbeyla,so,9.49,50.81,76.25,81,0,27.76
channel-port aux basques,ca,47.57,-59.14,62.03,89,48,5.95
hervey bay,au,-25.3,152.85,69.05,89,0,0.69
saldanha,za,41.42,-6.55,62.75,53,0,6.51
taoudenni,ml,22.68,-3.98,94.02,22,100,3.38
tuatapere,nz,-46.13,167.69,49.02,100,56,20.38
kargopol,ru,61.51,38.95,64.59,86,32,10.65
sitka,us,37.17,-99.65,85.38,54,44,16.46
portland,au,45.52,-122.67,86.47,29,1,8.05
vavuniya,lk,8.76,80.5,80.34,77,24,13.22
bekasi,id,-6.23,106.99,74.25,78,20,3.36
lazo,ru,47.89,27.93,65.67,97,36,2.93
kaeo,nz,-35.1,173.78,54.92,98,92,12.33
pringsewu,id,-5.36,104.98,70.26,86,32,2.26
santa isabel do rio negro,br,-0.41,-65.02,76.25,89,36,3.38
fasa,ir,28.94,53.65,89.6,13,0,9.17
cidreira,br,-30.17,-50.22,54.92,97,44,7.74
kichera,ru,55.93,110.1,54.87,92,32,3.15
muscat,om,23.6,58.55,95.0,32,0,5.82
sal rei,cv,16.18,-22.92,77.0,69,75,9.17
ushtobe,kz,45.25,77.98,60.05,62,0,8.52
kristiansand,no,37.36,-76.77,83.84,59,40,5.95
biak,id,-0.91,122.88,75.75,100,68,3.94
salym,ru,60.06,71.48,60.77,84,0,2.37
castro,cl,-42.48,-73.76,42.68,100,92,3.71
otautau,nz,-46.14,168.0,50.91,87,36,18.25
pevek,ru,69.7,170.27,44.93,97,92,4.38
bilibino,ru,68.06,166.44,51.18,99,100,2.71
halmeu,ro,47.98,23.0,68.94,94,64,4.7
colesberg,za,-30.72,25.1,31.11,74,0,1.7
pisco,pe,-13.71,-76.2,66.2,72,40,16.11
hualmay,pe,-11.1,-77.61,59.1,97,32,5.84
tuljapur,in,18.01,76.07,72.15,97,100,9.08
lae,pg,-6.72,146.98,78.8,74,40,5.82
koumac,nc,-20.56,164.28,72.65,83,92,5.39
novoagansk,ru,61.94,76.66,58.25,83,0,2.59
manokwari,id,-0.87,134.08,82.55,100,32,3.71
dengzhou,cn,32.69,112.08,75.98,99,100,3.71
bataipora,br,-22.3,-53.27,74.22,51,20,9.86
namibe,ao,-15.19,12.15,66.35,100,92,5.73
westport,ie,53.8,-9.52,55.4,100,75,6.93
malpe,in,13.35,74.72,78.8,88,75,9.17
vaini,to,15.34,74.49,71.7,99,100,7.4
los llanos de aridane,es,28.66,-17.92,73.4,64,0,20.8
urengoy,ru,65.96,78.37,67.88,74,36,13.67
marawi,sd,8.0,124.29,76.7,73,0,3.38
phalaborwa,za,-23.95,31.14,59.0,54,20,3.36
bathsheba,bb,13.22,-59.52,80.6,74,20,17.22
novaya ladoga,ru,60.11,32.31,68.15,87,0,6.17
loveland,us,40.4,-105.08,76.05,54,40,11.41
newport,us,51.59,-3.0,64.49,93,88,13.87
cockburn town,tc,21.46,-71.14,82.37,98,68,19.48
kasangulu,cd,-4.59,15.17,74.3,73,40,2.71
mezen,ru,65.85,44.24,52.17,76,0,3.38
barcelos,br,41.53,-8.62,61.9,87,0,2.15
mingguang,cn,32.78,118.01,85.92,84,76,4.61
coquimbo,cl,-29.95,-71.34,53.6,76,75,6.93
kontagora,ng,10.4,5.47,74.67,89,44,4.72
haimen,cn,31.87,121.18,88.4,78,0,3.94
ko samui,th,9.54,99.94,82.4,78,20,8.05
lazaro cardenas,mx,28.39,-105.62,91.4,29,40,10.29
egvekinot,ru,66.32,-179.17,49.74,91,92,6.4
haines junction,ca,60.75,-137.51,71.03,38,0,4.38
coihaique,cl,-45.58,-72.07,39.43,74,20,4.7
thompson,ca,55.74,-97.86,82.4,28,40,9.17
tura,ru,25.52,90.21,76.52,96,56,2.93
codrington,ag,-28.95,153.24,64.77,75,0,4.61
beaune,fr,47.02,4.84,76.03,50,0,3.36
alofi,nu,-19.06,-169.92,75.2,88,75,11.41
nanakuli,us,21.39,-158.15,87.15,55,40,10.29
cayenne,gf,4.94,-52.33,80.6,83,0,6.93
malanje,ao,-9.54,16.35,50.37,89,0,2.71
hay river,ca,60.82,-115.79,82.4,45,75,6.93
college,us,64.86,-147.8,71.6,53,75,5.82
fergus falls,us,46.28,-96.08,73.44,46,1,8.05
te anau,nz,-45.41,167.72,44.3,90,64,12.77
sendafa,et,9.16,39.02,52.4,97,92,3.15
maryville,us,40.35,-94.87,80.31,50,20,6.93
atuona,pf,-9.8,-139.03,79.4,100,92,20.83
mount gambier,au,-37.83,140.78,49.2,91,0,3.71
northam,au,51.04,-4.21,65.44,88,40,11.41
kununurra,au,-15.77,128.74,64.4,100,90,4.38
kulhudhuffushi,mv,6.62,73.07,82.73,98,76,18.25
havre-saint-pierre,ca,50.23,-63.6,73.4,83,40,6.93
dok kham tai,th,19.16,99.99,72.83,97,92,4.27
lasa,cn,34.92,32.53,77.67,74,20,10.29
viseu,br,40.66,-7.91,62.6,88,0,2.24
nabire,id,-3.36,135.5,71.03,99,92,1.7
lebu,cl,8.96,38.73,52.4,97,92,3.15
chegdomyn,ru,51.13,133.04,74.31,77,0,3.38
kirensk,ru,57.78,108.12,59.64,81,8,3.71
cilibia,ro,45.06,27.07,69.36,93,80,2.37
kupang,id,-10.16,123.6,73.4,88,20,5.82
usinsk,ru,66.0,57.56,51.45,70,0,12.77
mana,gf,43.52,20.24,61.57,100,40,2.24
georgetown,sh,6.8,-58.16,80.6,83,20,11.41
dudinka,ru,69.41,86.18,64.59,63,48,20.6
abu samrah,qa,35.3,37.18,70.62,84,8,12.88
port shepstone,za,-30.74,30.45,64.77,90,24,9.64
kpandae,gh,8.46,-0.01,74.0,93,100,4.05
manggar,id,-2.88,108.27,79.53,93,32,8.19
belyy yar,ru,53.6,91.39,55.4,93,90,4.38
khandyga,ru,62.65,135.58,67.52,85,92,3.6
gerede,tr,40.8,32.2,56.9,98,88,2.37
henties bay,na,-22.12,14.28,54.83,98,0,4.38
dzhebariki-khaya,ru,62.22,135.8,67.52,85,92,3.6
katangli,ru,51.71,143.23,53.43,92,92,6.4
sheoganj,in,25.14,73.07,77.1,77,64,12.66
kahului,us,20.89,-156.47,85.75,49,40,20.8
kamen-rybolov,ru,44.75,132.04,78.72,93,0,2.37
lerwick,gb,60.15,-1.15,62.6,77,32,20.8
mandera,ke,3.94,41.86,78.27,51,24,9.31
shingu,jp,33.72,135.99,79.44,100,92,5.95
sivas,tr,39.75,37.01,60.8,82,0,13.87
kreminna,ua,49.05,38.22,81.65,36,64,12.21
cabo san lucas,mx,22.89,-109.91,88.05,70,75,6.93
hrubieszow,pl,50.8,23.89,66.53,98,76,3.27
okhotsk,ru,59.36,143.24,63.87,85,32,2.93
ust-omchug,ru,61.13,149.63,56.04,64,0,3.49
tilichiki,ru,60.47,166.1,56.72,98,76,3.49
byron bay,au,-28.65,153.62,62.6,77,0,4.7
lavrentiya,ru,65.58,-170.99,47.13,95,92,8.75
victoria,sc,5.28,115.24,78.8,94,75,3.6
palivere,ee,58.97,23.89,77.82,60,36,12.55
ila,ng,63.43,10.37,73.76,50,0,13.87
dawlatabad,af,36.41,64.91,65.18,35,0,7.4
leningradskiy,ru,69.38,178.42,36.33,96,92,3.38
mount isa,au,-20.73,139.49,62.6,72,40,1.12
sobolevo,ru,54.43,31.9,66.98,82,24,14.45
thinadhoo,mv,0.53,72.93,84.03,98,32,18.03
owatonna,us,44.08,-93.23,73.58,50,40,8.05
ranong,th,9.96,98.62,75.48,100,92,12.66
suar,in,29.03,79.05,77.15,96,88,8.52
hami,cn,42.84,93.51,74.58,47,88,0.92
mar del plata,ar,-46.43,-67.52,31.52,99,0,4.05
rapid valley,us,44.06,-103.15,70.09,53,20,11.41
poronaysk,ru,49.22,143.1,65.04,92,68,3.6
tessalit,ml,20.2,1.01,86.33,26,0,4.61
santa isabel,mx,4.71,-75.1,84.2,51,75,9.17
sorland,no,67.67,12.69,59.42,89,0,4.94
kendari,id,-3.99,122.52,76.88,87,88,1.14
hovd,mn,63.83,10.7,73.78,50,0,13.87
aykhal,ru,65.95,111.51,57.39,68,80,4.72
ribeira grande,pt,38.52,-28.7,71.03,100,0,10.87
likasi,cd,-10.99,26.74,53.97,85,24,2.93
yayva,ru,59.33,57.26,69.18,75,92,2.59
aktau,kz,43.65,51.16,77.0,36,0,11.18
padampur,in,29.71,73.62,79.8,91,20,6.17
halvad,in,23.02,71.18,80.25,78,92,14.0
severo-yeniseyskiy,ru,60.37,93.04,55.32,87,0,3.04
verkhoyansk,ru,67.55,133.39,57.3,79,24,3.71
roma,au,41.89,12.48,75.2,94,0,3.36
lompoc,us,34.64,-120.46,71.85,33,1,10.29
tandalti,sd,13.01,31.87,70.58,97,80,3.6
khor,ru,47.88,134.96,77.19,97,0,4.16
guhagar,in,17.48,73.19,78.0,100,92,13.56
kudahuvadhoo,mv,2.67,72.89,82.5,100,88,15.79
kailua,us,21.39,-157.74,87.3,70,75,11.41
saint george,bm,39.45,22.34,73.4,83,20,2.26
dwarka,in,28.58,77.04,78.8,100,90,9.17
brae,gb,60.4,-1.35,62.35,77,48,20.8
andra,ru,62.52,65.89,67.88,76,80,6.17
umm lajj,sa,25.02,37.27,80.79,91,0,6.51
port hardy,ca,50.7,-127.42,62.6,77,40,6.93
tiznit,ma,29.7,-9.73,68.6,92,12,2.15
inuvik,ca,68.36,-133.71,48.2,93,90,6.93
ghauspur,pk,28.14,69.08,83.31,64,32,6.4
maniitsoq,gl,65.42,-52.9,38.0,100,92,6.4
sarkand,kz,45.41,79.91,52.67,82,0,2.82
baiyin,cn,36.55,104.13,68.0,82,75,4.47
salinopolis,br,-0.61,-47.36,80.57,97,88,15.9
wattegama,lk,7.35,80.68,71.16,97,92,4.83
launceston,au,-41.43,147.14,32.0,100,0,1.92
hirara,jp,24.8,125.28,82.4,88,20,3.36
chiguayante,cl,-36.93,-73.02,48.2,87,75,5.82
mocuba,mz,-16.84,36.99,60.09,91,0,2.26
ternate,id,14.29,120.72,78.8,100,90,6.06
alamogordo,us,32.9,-105.96,80.6,42,40,13.87
bronnoysund,no,65.46,12.2,69.8,64,0,16.11
lowicz,pl,52.11,19.95,69.04,93,76,1.12
berlevag,no,70.86,29.09,51.8,87,20,4.7
tommot,ru,58.97,126.27,56.63,96,100,4.05
umea,se,63.83,20.26,64.4,68,0,8.05
sakaiminato,jp,35.55,133.23,77.0,83,75,4.7
antalaha,mg,-14.9,50.28,69.63,92,100,11.21
khuchni,ru,41.95,47.95,66.66,80,24,2.15
kolda,sn,12.89,-14.94,80.6,88,75,6.93
novikovo,ru,45.05,34.56,69.0,100,92,3.38
wagar,sd,31.44,-87.99,92.94,45,36,1.81
port lincoln,au,-34.72,135.86,55.82,99,0,5.06
nizwa,om,22.93,57.53,81.02,32,24,3.04
yar-sale,ru,66.83,70.83,54.65,93,92,25.41
adrar,dz,27.87,-0.29,102.2,16,80,8.05
porto novo,cv,-23.68,-45.44,71.6,49,0,3.36
lugovoy,ru,59.72,65.88,67.29,79,48,2.93
north bend,us,43.41,-124.22,62.26,72,1,16.11
dakar,sn,14.69,-17.45,78.8,74,40,6.93
bang lamung,th,12.97,100.91,82.4,74,40,4.7
broome,au,52.47,1.45,65.07,93,40,10.29
yaan,cn,7.38,8.57,70.71,97,92,7.96
sabzevar,ir,36.21,57.68,55.23,41,0,3.6
cottonwood,us,34.74,-112.01,73.85,31,75,8.05
kungurtug,ru,50.6,97.53,45.65,74,32,2.59
aguimes,es,27.91,-15.45,71.6,68,20,24.16
chepo,pa,9.17,-79.09,82.4,78,40,3.36
zerbst,de,51.96,12.09,68.0,94,0,3.36
tchollire,cm,8.4,14.17,71.88,93,68,3.04
lorengau,pg,-2.02,147.27,82.86,100,0,6.17
mahbubabad,in,17.62,80.02,74.13,95,32,7.85
la tuque,ca,47.44,-72.79,67.43,93,48,3.94
tianpeng,cn,28.88,112.34,85.47,82,36,5.61
adwa,et,14.16,38.9,60.23,96,88,2.15
ginir,et,7.14,40.71,59.28,77,0,7.18
bougouni,ml,11.42,-7.49,71.52,95,68,3.94
nemuro,jp,43.32,145.57,63.6,94,44,14.45
boddam,gb,57.47,-1.78,64.4,93,80,6.93
souillac,mu,45.6,-0.6,67.01,77,0,3.36
paris,us,48.86,2.35,70.03,83,0,9.17
nizhniy chir,ru,48.36,43.08,78.5,50,0,12.77
banatski karlovac,rs,45.05,21.02,66.2,93,0,1.12
atasu,kz,48.68,71.64,57.57,65,0,9.75
erenhot,cn,43.65,111.97,78.81,71,48,5.95
talnakh,ru,69.49,88.39,54.65,74,80,16.46
ballina,ie,54.11,-9.15,55.4,100,75,6.93
mufumbwe,zm,-13.68,24.8,50.1,63,0,3.94
riyadh,sa,24.63,46.72,96.8,19,5,11.41
coahuayana,mx,18.62,-100.35,84.35,53,12,2.71
idil,tr,37.34,41.89,64.95,70,0,1.36
wamba,cd,2.14,27.99,65.72,97,80,2.15
comodoro rivadavia,ar,-45.87,-67.48,46.4,61,0,6.85
belmonte,br,40.36,-7.35,56.94,82,0,3.38
cascais,pt,38.7,-9.42,65.43,77,0,5.82
sann,pk,26.04,68.14,84.2,66,40,11.41
srednekolymsk,ru,67.46,153.71,43.98,81,24,3.71
fort smith,us,35.39,-94.42,91.4,36,1,5.82
